email;stratum;score;company
herman.valerie@prohaska.com;C;469;Quitzon-Strosin
mboehm@nolan.com;NW;72;Johns-Murray
estella53@herzog.org;SW;937;McCullough-Prohaska
zemlak.alejandrin@ryan.org;SE;729;Paucek, Stark and Mertz
mmacejkovic@ruecker.net;NW;34;Lemke and Sons
ashields@durgan.biz;SW;828;Rohan-Walsh
burley.farrell@kling.com;C;552;Kassulke-Abernathy
matilde.feil@gmail.com;NE;253;Bartell-Herzog
ben.christiansen@keebler.info;SE;716;Farrell-Gislason
oblanda@reynolds.net;SW;973;Luettgen, Haley and Harris
jacobson.vernice@gottlieb.biz;SE;696;Purdy, Parisian and Romaguera
chyna76@hotmail.com;C;437;Rutherford LLC
goodwin.celia@yahoo.com;C;532;Huels, Bode and Nienow
crooks.josefa@gmail.com;NE;237;Schultz-Mertz
marlon.howell@streich.info;C;425;Kuvalis Inc
cesar18@hilpert.com;C;508;Gottlieb Ltd
rosalind56@boehm.net;NE;277;Hodkiewicz-Murray
ethyl.cormier@hotmail.com;NW;8;Leannon, West and Krajcik
emarquardt@bins.com;SE;621;Carter-Jacobs
howe.sibyl@medhurst.info;NE;266;Effertz-Predovic
piper11@ritchie.com;C;471;Abshire-Borer
jandewit411@conversaction.com;SE;320;Conversaction
